epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
114,1009.26,1.15565,0.45852,0.00234,0.85227,0.83193,0.87212,0.38214,2.16082,0.95505,0.00599,0.00331512,0.00110504,0.00331512,0.00110504,0.00331512,0.00110504,0.00331512,0.00110504
115,1018.13,1.17609,0.45718,0.00247,0.8316,0.83193,0.85128,0.36052,2.17551,0.90156,0.00601,0.00329136,0.00109712,0.00329136,0.00109712,0.00329136,0.00109712,0.00329136,0.00109712
116,1026.84,1.1604,0.42987,0.00236,0.84711,0.83193,0.89637,0.38142,2.14016,0.96164,0.00594,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
117,1035.63,1.13633,0.44323,0.00237,0.89916,0.83193,0.90079,0.3871,2.1311,0.94375,0.00597,0.00324384,0.00108128,0.00324384,0.00108128,0.00324384,0.00108128,0.00324384,0.00108128
118,1044.46,1.13241,0.45133,0.00228,0.8889,0.83193,0.90242,0.38909,2.12269,0.9747,0.00601,0.00322008,0.00107336,0.00322008,0.00107336,0.00322008,0.00107336,0.00322008,0.00107336
119,1053.26,1.14786,0.43567,0.00236,0.8392,0.8333,0.89791,0.38285,2.11061,0.97357,0.00589,0.00319632,0.00106544,0.00319632,0.00106544,0.00319632,0.00106544,0.00319632,0.00106544
120,1062.09,1.1585,0.45112,0.00237,0.8865,0.78765,0.8778,0.38335,2.17732,0.95849,0.00605,0.00317256,0.00105752,0.00317256,0.00105752,0.00317256,0.00105752,0.00317256,0.00105752
121,1070.95,1.18447,0.47955,0.00241,0.84697,0.79065,0.86147,0.37725,2.18747,0.95672,0.00603,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
122,1079.8,1.14544,0.47044,0.00227,0.79063,0.78992,0.84128,0.35891,2.22494,0.97416,0.00619,0.00312504,0.00104168,0.00312504,0.00104168,0.00312504,0.00104168,0.00312504,0.00104168
123,1088.71,1.14345,0.43661,0.00236,0.82769,0.78151,0.83953,0.35987,2.21506,1.03004,0.00614,0.00310128,0.00103376,0.00310128,0.00103376,0.00310128,0.00103376,0.00310128,0.00103376
124,1097.6,1.12621,0.4449,0.00232,0.83336,0.78992,0.8668,0.37173,2.17964,1.01335,0.00605,0.00307752,0.00102584,0.00307752,0.00102584,0.00307752,0.00102584,0.00307752,0.00102584
